l,lgramSize,criteria_id,text_id,h0,h1,fp,fn,threshold,j
10000,2,c13bi,vig10,0,370,0.35945945945945945,0,0,0
10000,2,c30bi,vig10,0,370,0.22972972972972974,0,0.1,0
10000,2,c51bi,vig10,370,0,0,1,60,500
10,1,c10sy,affine_sym,2553,7447,0.1893,0.2553,0,0
10,1,c11sy,affine_sym,9432,568,0.0009,0.9432,3,0
10,1,c13sy,affine_sym,2553,7447,0.1893,0.2553,0,0
10,1,c30sy,affine_sym,0,10000,1,0,0.5,0
10,1,c12sy,affine_sym,2553,7447,0.1893,0.2553,0,0
10,1,c51sy,affine_sym,10000,0,0,1,6,3
10,2,c10bi,affine_sym,4471,5529,0.0015,0.4471,0,0
10,2,c11bi,affine_sym,7743,2257,0,0.7743,2,0
10,2,c12bi,affine_sym,4471,5529,0.0015,0.4471,0,0
10,2,c13bi,affine_sym,4471,5529,0.0015,0.4471,0,0
10,2,c30bi,affine_sym,9214,786,0.0005,0.9214,3,0
10,2,c51bi,affine_sym,10000,0,0,1,10,5
100,1,c10sy,affine_sym,709,9291,0.881,0.0709,0,0
100,1,c11sy,affine_sym,10000,0,0,1,18,0
100,1,c12sy,affine_sym,709,9291,0.881,0.0709,0,0
100,1,c13sy,affine_sym,762,9238,0.4005,0.0762,0,0
100,1,c30sy,affine_sym,4113,5887,0.181,0.4113,0.35,0
100,1,c51sy,affine_sym,4473,5527,0,0.4473,4,10
100,2,c10bi,affine_sym,897,9103,0.016,0.0897,0,0
100,2,c11bi,affine_sym,9892,108,0,0.9892,17,0
100,2,c12bi,affine_sym,897,9103,0.016,0.0897,0,0
100,2,c13bi,affine_sym,897,9103,0.016,0.0897,0,0
100,2,c30bi,affine_sym,0,10000,1,0,0.55,0
100,2,c51bi,affine_sym,10000,0,0,1,25,20
1000,1,c10sy,affine_sym,698,9302,1,0.0698,0,0
1000,1,c11sy,affine_sym,10000,0,0,1,120,0
1000,1,c12sy,affine_sym,699,9301,0.9158,0.0699,0,0
1000,1,c13sy,affine_sym,704,9296,0.5303,0.0704,0,0
1000,1,c30sy,affine_sym,4982,5018,0.0027,0.4982,0.15,0
1000,1,c51sy,affine_sym,5000,5000,0,0.5,8,20
1000,2,c10bi,affine_sym,793,9207,0.1671,0.0793,0,0
1000,2,c11bi,affine_sym,10000,0,0,1,119,0
1000,2,c12bi,affine_sym,793,9207,0.1671,0.0793,0,0
1000,2,c13bi,affine_sym,793,9207,0.1671,0.0793,0,0
1000,2,c30bi,affine_sym,64,9936,0.9879,0.0064,0.22,0
1000,2,c51bi,affine_sym,6,9994,0.0241,0.0006,30,200
10000,1,c10sy,affine_sym,24,346,1,0.06486486486486487,0,0
10000,1,c11sy,affine_sym,370,0,0,1,800,0
10000,1,c12sy,affine_sym,24,346,0.8648648648648649,0.06486486486486487,0,0
10000,1,c13sy,affine_sym,24,346,0.27837837837837837,0.06486486486486487,0,0
10000,1,c30sy,affine_sym,179,191,0.010810810810810811,0.4837837837837838,0.07,0
10000,1,c51sy,affine_sym,183,187,0,0.4945945945945946,12,30
10000,2,c10bi,affine_sym,32,338,0.6702702702702703,0.08648648648648649,0,0
10000,2,c11bi,affine_sym,370,0,0,1,799,0
10000,2,c12bi,affine_sym,32,338,0.6702702702702703,0.08648648648648649,0,0
10000,2,c13bi,affine_sym,32,338,0.35945945945945945,0.08648648648648649,0,0
10000,2,c30bi,affine_sym,140,230,0.22972972972972974,0.3783783783783784,0.1,0
10000,2,c51bi,affine_sym,0,370,0,0,60,500
10,1,c10sy,affine_bi,2687,7313,0.1893,0.2687,0,0
10,1,c11sy,affine_bi,9331,669,0.0009,0.9331,3,0
10,1,c12sy,affine_bi,2687,7313,0.1893,0.2687,0,0
10,1,c13sy,affine_bi,2687,7313,0.1893,0.2687,0,0
10,1,c30sy,affine_bi,0,10000,1,0,0.5,0
10,1,c51sy,affine_bi,10000,0,0,1,6,3
10,2,c10bi,affine_bi,4533,5467,0.0015,0.4533,0,0
10,2,c11bi,affine_bi,7909,2091,0,0.7909,2,0
10,2,c12bi,affine_bi,4533,5467,0.0015,0.4533,0,0
10,2,c13bi,affine_bi,4533,5467,0.0015,0.4533,0,0
10,2,c30bi,affine_bi,9397,603,0.0005,0.9397,3,0
10,2,c51bi,affine_bi,10000,0,0,1,10,5
100,1,c10sy,affine_bi,484,9516,0.881,0.0484,0,0
100,1,c11sy,affine_bi,10000,0,0,1,18,0
